STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        403;20220819;-999;-999;-999;   10;   0.1;   6;    1.000;   0;   7.8;  22.5; 1001.10;   21.1;   90.00;   23.6;   19.6;   19.3;eor
        403;20220820;-999;-999;-999;   10;   1.5;   6;    0.000;   0;   7.8;  20.9; 1004.70;   19.7;   91.00;   21.7;   18.2;   17.7;eor
        403;20220821;-999;-999;-999;   10;   0.0;   0;    7.900;   0;   5.8;  14.9; 1006.20;   18.9;   71.00;   23.9;   13.7;   12.0;eor
        403;20220822;-999;-999;-999;   10;   0.0;   0;    5.100;   0;   6.2;  14.3; 1007.50;   18.9;   69.00;   24.1;   12.8;   10.9;eor
        403;20220823;-999;-999;-999;   10;   0.0;   0;    4.700;   0;   4.9;  16.9; 1008.90;   20.4;   72.00;   26.0;   16.7;   13.8;eor
        403;20220824;-999;-999;-999;   10;   0.0;   0;    7.700;   0;   2.4;  18.8; 1011.20;   21.0;   78.00;   27.2;   15.4;   12.4;eor
        403;20220825;-999;-999;-999;   10;   0.0;   0;    7.500;   0;   2.7;  20.6; 1009.10;   22.1;   80.00;   28.1;   17.5;   14.9;eor
        403;20220826;-999;-999;-999;   10;  22.3;   6;    5.200;   0;   5.3;  21.8; 1003.80;   21.4;   87.00;   29.3;   18.9;   16.7;eor
        403;20220827;-999;-999;-999;   10;   0.0;   6;    1.000;   0;   7.6;  21.2; 1002.80;   20.2;   90.00;   23.5;   18.6;   18.3;eor
        403;20220828;-999;-999;-999;   10;   0.0;   0;    5.700;   0;   4.8;  15.5; 1006.80;   17.5;   78.00;   21.5;   13.7;   10.7;eor
        403;20220829;-999;-999;-999;   10;   0.0;   0;    4.700;   0;   4.5;  14.7; 1010.20;   16.6;   79.00;   22.4;   12.2;    9.6;eor
        403;20220830;-999;-999;-999;   10;   0.0;   0;    6.000;   0;   5.0;  15.0; 1012.20;   17.2;   78.00;   22.1;   13.4;   10.8;eor
